,xmin,ymin,xmax,ymax,xc,yc,width,height,yolo_confidence
0,134,154,185,200,159,177,50,45,0.8393186927
1,105,100,148,145,126,122,42,45,0.8340975642
2,95,159,138,200,116,179,43,41,0.8218764067000001
3,77,213,117,252,97,233,40,38,0.7992855310000001
4,10,100,65,147,37,124,55,46,0.7893539071
5,65,103,106,146,85,125,40,42,0.7864090204
6,114,208,166,257,140,232,52,48,0.7690322399
7,20,152,66,194,43,173,46,42,0.7376975417
8,61,158,103,196,82,177,42,37,0.7241230607
9,99,47,135,89,117,68,36,42,0.6978635192
10,38,212,85,253,62,233,46,41,0.6878753304
11,162,206,214,258,188,232,51,51,0.6765263081
12,100,0,154,39,127,19,53,39,0.5492824316
13,51,0,105,42,78,21,53,41,0.5205124617
14,64,47,103,91,83,69,39,43,0.5075694323000001
15,23,41,70,83,47,62,46,41,0.3679899573
16,126,49,161,88,143,69,34,39,0.3379092515
17,140,99,190,148,165,124,49,48,0.32552644610000003
18,170,38,65,65,25,25,40,40,1.0
