,xmin,ymin,xmax,ymax,yolo_confidence,width,height,xc,yc
0,134,154,185,200,0.8393186926841736,50,45,159,177
1,105,100,148,145,0.8340975642204285,42,45,126,122
2,95,159,138,200,0.8218764066696167,43,41,116,179
3,77,213,117,252,0.7992855310440063,40,38,97,233
4,10,100,65,147,0.7893539071083069,55,46,37,124
5,65,103,106,146,0.7864090204238892,40,42,85,125
6,114,208,166,257,0.7690322399139404,52,48,140,232
7,20,152,66,194,0.7376975417137146,46,42,43,173
8,61,158,103,196,0.7241230607032776,42,37,82,177
9,99,47,135,89,0.6978635191917419,36,42,117,68
10,38,212,85,253,0.6878753304481506,46,41,62,233
11,162,206,214,258,0.6765263080596924,51,51,188,232
12,100,0,154,39,0.549282431602478,53,39,127,19
13,51,0,105,42,0.5205124616622925,53,41,78,21
14,64,47,103,91,0.507569432258606,39,43,83,69
15,23,41,70,83,0.3679899573326111,46,41,47,62
16,126,49,161,88,0.3379092514514923,34,39,143,69
17,140,99,190,148,0.3255264461040497,49,48,165,124
